Idx,Switch,Switch_ID,MAC,Port,Switch_Intf,Node_Intf,Node_Name
S_Texas,S_Texas,s0,0000100000000001,1,s0-eth1,s13-eth4,s13
S_Texas,S_Texas,s0,0000100000000001,2,s0-eth2,StTeresa-eth0,StTeresa
S_Texas,S_Texas,s0,0000100000000001,3,s0-eth3,RoundRock-eth0,RoundRock
S_Texas,S_Texas,s0,0000100000000001,4,s0-eth4,Harlingen-eth0,Harlingen
S_Texas,S_Texas,s0,0000100000000001,5,s0-eth5,SugarLand-eth0,SugarLand
S_Texas,S_Texas,s0,0000100000000001,6,s0-eth6,CorChris-eth0,CorChris
S_Texas,S_Texas,s0,0000100000000001,7,s0-eth7,Baytown-eth0,Baytown
S_Texas,S_Texas,s0,0000100000000001,8,s0-eth8,Dallas-eth0,Dallas
S_Texas,S_Texas,s0,0000100000000001,9,s0-eth9,Austin-eth0,Austin
S_Texas,S_Texas,s0,0000100000000001,10,s0-eth10,McAllen-eth0,McAllen
S_Texas,S_Texas,s0,0000100000000001,11,s0-eth11,SanAngelo-eth0,SanAngelo
S_Texas,S_Texas,s0,0000100000000001,12,s0-eth12,Bryan-eth0,Bryan
S_Texas,S_Texas,s0,0000100000000001,13,s0-eth13,Plano-eth0,Plano
S_Ohio,S_Ohio,s1,0000100000000002,1,s1-eth1,s4-eth1,s4
S_Ohio,S_Ohio,s1,0000100000000002,2,s1-eth2,s34-eth2,s34
S_Ohio,S_Ohio,s1,0000100000000002,3,s1-eth3,Mentor-eth0,Mentor
S_Ohio,S_Ohio,s1,0000100000000002,4,s1-eth4,Toledo-eth0,Toledo
S_Ohio,S_Ohio,s1,0000100000000002,5,s1-eth5,Warren-eth0,Warren
S_Ohio,S_Ohio,s1,0000100000000002,6,s1-eth6,Cleveland-eth0,Cleveland
S_Ohio,S_Ohio,s1,0000100000000002,7,s1-eth7,Cincinnati-eth0,Cincinnati
S_Ohio,S_Ohio,s1,0000100000000002,8,s1-eth8,Elyria-eth0,Elyria
S_Ohio,S_Ohio,s1,0000100000000002,9,s1-eth9,Akron-eth0,Akron
S_Ohio,S_Ohio,s1,0000100000000002,10,s1-eth10,Dayton-eth0,Dayton
S_NewYork,S_NewYork,s2,0000100000000003,1,s2-eth1,s21-eth1,s21
S_NewYork,S_NewYork,s2,0000100000000003,2,s2-eth2,s32-eth1,s32
S_NewYork,S_NewYork,s2,0000100000000003,3,s2-eth3,s24-eth1,s24
S_NewYork,S_NewYork,s2,0000100000000003,4,s2-eth4,s4-eth2,s4
S_NewYork,S_NewYork,s2,0000100000000003,5,s2-eth5,Rochester-eth0,Rochester
S_NewYork,S_NewYork,s2,0000100000000003,6,s2-eth6,Bellport-eth0,Bellport
S_NewYork,S_NewYork,s2,0000100000000003,7,s2-eth7,TroyNY-eth0,TroyNY
S_NewYork,S_NewYork,s2,0000100000000003,8,s2-eth8,RomeUtica-eth0,RomeUtica
S_NewMexico,S_NewMexico,s3,0000100000000004,1,s3-eth1,s23-eth1,s23
S_NewMexico,S_NewMexico,s3,0000100000000004,2,s3-eth2,Albuq-eth0,Albuq
S_Pennsylvania,S_Pennsylvania,s4,0000100000000005,1,s4-eth1,s1-eth1,s1
S_Pennsylvania,S_Pennsylvania,s4,0000100000000005,2,s4-eth2,s2-eth4,s2
S_Pennsylvania,S_Pennsylvania,s4,0000100000000005,3,s4-eth3,York-eth0,York
S_Pennsylvania,S_Pennsylvania,s4,0000100000000005,4,s4-eth4,StCollege-eth0,StCollege
S_Pennsylvania,S_Pennsylvania,s4,0000100000000005,5,s4-eth5,Phily-eth0,Phily
S_Pennsylvania,S_Pennsylvania,s4,0000100000000005,6,s4-eth6,WilkBarre-eth0,WilkBarre
S_Pennsylvania,S_Pennsylvania,s4,0000100000000005,7,s4-eth7,Cousport-eth0,Cousport
S_Pennsylvania,S_Pennsylvania,s4,0000100000000005,8,s4-eth8,Altoona-eth0,Altoona
S_Pennsylvania,S_Pennsylvania,s4,0000100000000005,9,s4-eth9,Indiana-eth0,Indiana
S_Pennsylvania,S_Pennsylvania,s4,0000100000000005,10,s4-eth10,Scranton-eth0,Scranton
S_California,S_California,s5,0000100000000006,1,s5-eth1,s37-eth1,s37
S_California,S_California,s5,0000100000000006,2,s5-eth2,Auburn-eth0,Auburn
S_California,S_California,s5,0000100000000006,3,s5-eth3,Sunnyvale-eth0,Sunnyvale
S_California,S_California,s5,0000100000000006,4,s5-eth4,Salinas-eth0,Salinas
S_California,S_California,s5,0000100000000006,5,s5-eth5,ManchstCA-eth0,ManchstCA
S_California,S_California,s5,0000100000000006,6,s5-eth6,Carlsbad-eth0,Carlsbad
S_California,S_California,s5,0000100000000006,7,s5-eth7,Lompoc-eth0,Lompoc
S_California,S_California,s5,0000100000000006,8,s5-eth8,Stockton-eth0,Stockton
S_California,S_California,s5,0000100000000006,9,s5-eth9,SantaAna-eth0,SantaAna
S_California,S_California,s5,0000100000000006,10,s5-eth10,Anaheim-eth0,Anaheim
S_California,S_California,s5,0000100000000006,11,s5-eth11,SanFranc-eth0,SanFranc
S_California,S_California,s5,0000100000000006,12,s5-eth12,SanLObp-eth0,SanLObp
S_California,S_California,s5,0000100000000006,13,s5-eth13,Oakland-eth0,Oakland
S_California,S_California,s5,0000100000000006,14,s5-eth14,PaloAlto-eth0,PaloAlto
S_California,S_California,s5,0000100000000006,15,s5-eth15,GrovBeach-eth0,GrovBeach
S_California,S_California,s5,0000100000000006,16,s5-eth16,Bishop-eth0,Bishop
S_California,S_California,s5,0000100000000006,17,s5-eth17,SanBernd-eth0,SanBernd
S_California,S_California,s5,0000100000000006,18,s5-eth18,Redding-eth0,Redding
S_Virginia,S_Virginia,s6,0000100000000007,1,s6-eth1,s27-eth2,s27
S_Virginia,S_Virginia,s6,0000100000000007,2,s6-eth2,s8-eth1,s8
S_Virginia,S_Virginia,s6,0000100000000007,3,s6-eth3,Chesapeake-eth0,Chesapeake
S_Virginia,S_Virginia,s6,0000100000000007,4,s6-eth4,Harrburg-eth0,Harrburg
S_Virginia,S_Virginia,s6,0000100000000007,5,s6-eth5,Fredsberg-eth0,Fredsberg
S_Virginia,S_Virginia,s6,0000100000000007,6,s6-eth6,Richmond-eth0,Richmond
S_Virginia,S_Virginia,s6,0000100000000007,7,s6-eth7,Charsville-eth0,Charsville
S_Virginia,S_Virginia,s6,0000100000000007,8,s6-eth8,Norfolk-eth0,Norfolk
S_Virginia,S_Virginia,s6,0000100000000007,9,s6-eth9,Lynchburg-eth0,Lynchburg
S_Virginia,S_Virginia,s6,0000100000000007,10,s6-eth10,Ashburn-eth0,Ashburn
S_Georgia,S_Georgia,s7,0000100000000008,1,s7-eth1,s15-eth1,s15
S_Georgia,S_Georgia,s7,0000100000000008,2,s7-eth2,s16-eth1,s16
S_Georgia,S_Georgia,s7,0000100000000008,3,s7-eth3,s26-eth1,s26
S_Georgia,S_Georgia,s7,0000100000000008,4,s7-eth4,Savannah-eth0,Savannah
S_Maryland,S_Maryland,s8,0000100000000009,1,s8-eth1,s6-eth2,s6
S_Maryland,S_Maryland,s8,0000100000000009,2,s8-eth2,s43-eth1,s43
S_Maryland,S_Maryland,s8,0000100000000009,3,s8-eth3,Towson-eth0,Towson
S_Maryland,S_Maryland,s8,0000100000000009,4,s8-eth4,Baltimore-eth0,Baltimore
S_Oregon,S_Oregon,s9,0000100000000010,1,s9-eth1,s37-eth2,s37
S_Oregon,S_Oregon,s9,0000100000000010,2,s9-eth2,s12-eth1,s12
S_Oregon,S_Oregon,s9,0000100000000010,3,s9-eth3,Portland-eth0,Portland
S_Oregon,S_Oregon,s9,0000100000000010,4,s9-eth4,Eugene-eth0,Eugene
S_Louisiana,S_Louisiana,s10,0000100000000011,1,s10-eth1,s13-eth2,s13
S_Louisiana,S_Louisiana,s10,0000100000000011,2,s10-eth2,NewOrleans-eth0,NewOrleans
S_Louisiana,S_Louisiana,s10,0000100000000011,3,s10-eth3,BatonRouge-eth0,BatonRouge
S_Louisiana,S_Louisiana,s10,0000100000000011,4,s10-eth4,Shreveport-eth0,Shreveport
S_Michigan,S_Michigan,s11,0000100000000012,1,s11-eth1,s31-eth2,s31
S_Michigan,S_Michigan,s11,0000100000000012,2,s11-eth2,Detroit-eth0,Detroit
S_Michigan,S_Michigan,s11,0000100000000012,3,s11-eth3,Dearborn-eth0,Dearborn
S_Michigan,S_Michigan,s11,0000100000000012,4,s11-eth4,Southfield-eth0,Southfield
S_Michigan,S_Michigan,s11,0000100000000012,5,s11-eth5,Lansing-eth0,Lansing
S_Washington,S_Washington,s12,0000100000000013,1,s12-eth1,s9-eth2,s9
S_Washington,S_Washington,s12,0000100000000013,2,s12-eth2,Spokane-eth0,Spokane
S_Washington,S_Washington,s12,0000100000000013,3,s12-eth3,Vancouver-eth0,Vancouver
S_Washington,S_Washington,s12,0000100000000013,4,s12-eth4,Tacoma-eth0,Tacoma
S_Arkansas,S_Arkansas,s13,0000100000000014,1,s13-eth1,s42-eth1,s42
S_Arkansas,S_Arkansas,s13,0000100000000014,2,s13-eth2,s10-eth1,s10
S_Arkansas,S_Arkansas,s13,0000100000000014,3,s13-eth3,s35-eth1,s35
S_Arkansas,S_Arkansas,s13,0000100000000014,4,s13-eth4,s0-eth1,s0
S_Arkansas,S_Arkansas,s13,0000100000000014,5,s13-eth5,FortSmith-eth0,FortSmith
S_Arkansas,S_Arkansas,s13,0000100000000014,6,s13-eth6,LittleRock-eth0,LittleRock
S_Montana,S_Montana,s14,0000100000000015,1,s14-eth1,s33-eth1,s33
S_Montana,S_Montana,s14,0000100000000015,2,s14-eth2,s25-eth3,s25
S_Montana,S_Montana,s14,0000100000000015,3,s14-eth3,Helena-eth0,Helena
S_Montana,S_Montana,s14,0000100000000015,4,s14-eth4,Billings-eth0,Billings
S_Alabama,S_Alabama,s15,0000100000000016,1,s15-eth1,s7-eth1,s7
S_Alabama,S_Alabama,s15,0000100000000016,2,s15-eth2,Mobile-eth0,Mobile
S_Florida,S_Florida,s16,0000100000000017,1,s16-eth1,s7-eth2,s7
S_Florida,S_Florida,s16,0000100000000017,2,s16-eth2,BocaRaton-eth0,BocaRaton
S_Florida,S_Florida,s16,0000100000000017,3,s16-eth3,WinHeaven-eth0,WinHeaven
S_Florida,S_Florida,s16,0000100000000017,4,s16-eth4,Lakeland-eth0,Lakeland
S_Florida,S_Florida,s16,0000100000000017,5,s16-eth5,WPalmBeach-eth0,WPalmBeach
S_Florida,S_Florida,s16,0000100000000017,6,s16-eth6,Hollywood-eth0,Hollywood
S_Florida,S_Florida,s16,0000100000000017,7,s16-eth7,Brent-eth0,Brent
S_Florida,S_Florida,s16,0000100000000017,8,s16-eth8,FortLdale-eth0,FortLdale
S_Florida,S_Florida,s16,0000100000000017,9,s16-eth9,Orlando-eth0,Orlando
S_Florida,S_Florida,s16,0000100000000017,10,s16-eth10,Gainesv-eth0,Gainesv
S_Florida,S_Florida,s16,0000100000000017,11,s16-eth11,Melbourne-eth0,Melbourne
S_Florida,S_Florida,s16,0000100000000017,12,s16-eth12,SPtsburg-eth0,SPtsburg
S_Florida,S_Florida,s16,0000100000000017,13,s16-eth13,Tampa-eth0,Tampa
S_Idaho,S_Idaho,s17,0000100000000018,1,s17-eth1,s25-eth1,s25
S_Massachusetts,S_Massachusetts,s18,0000100000000019,1,s18-eth1,s41-eth1,s41
S_Massachusetts,S_Massachusetts,s18,0000100000000019,2,s18-eth2,s24-eth2,s24
S_Massachusetts,S_Massachusetts,s18,0000100000000019,3,s18-eth3,SprfldMA-eth0,SprfldMA
S_Massachusetts,S_Massachusetts,s18,0000100000000019,4,s18-eth4,Boston-eth0,Boston
S_Massachusetts,S_Massachusetts,s18,0000100000000019,5,s18-eth5,Framingham-eth0,Framingham
S_Colorado,S_Colorado,s19,0000100000000020,1,s19-eth1,s38-eth1,s38
S_Colorado,S_Colorado,s19,0000100000000020,2,s19-eth2,s40-eth1,s40
